country,totalCases,totalNewCases,estimate,lower,upper,population,propCurrentlyInfMid,propCurrentlyInfLow,propCurrentlyInfHigh
Lebanon,1662,189,0.8279487868150905,0.4952117527648566,0.999999361330937,6825442,6.7e-5,3.6e-5,1.9e-4
Liberia,681,172,0.5438676024557426,0.2534455453079374,0.9407533925947926,5057677,1.3e-4,4.7e-5,4.5e-4
Libya,698,231,0.28055559796806834,0.12165770726283336,0.5649031491793628,6871287,2.4e-4,7.7e-5,9.2e-4
Lithuania,1806,30,0.30178829413783387,0.16753367247784032,0.4684547985012687,2722291,7.3e-5,3.1e-5,2.2e-4
Luxembourg,4151,76,0.5910594752995731,0.3859142567614117,0.9046735804834674,625976,4.1e-4,1.7e-4,0.001
Madagascar,1829,512,0.8332877339407396,0.5227240975636965,0.9998530433290844,27691019,4.4e-5,2.4e-5,1.2e-4
Malaysia,8600,95,0.9710660395581665,0.7758651088183948,0.9999999999999964,32365998,6e-6,3.8e-6,1.3e-5
Mali,2007,122,0.3375357334814348,0.21021327729239692,0.5726842703531047,20250834,3.6e-5,1.4e-5,9.6e-5
Mauritania,3739,1682,0.4502263591652774,0.3043750275937303,0.6732073756427276,4649660,0.0016,7e-4,0.004
Mauritius,341,4,0.6271677445739285,0.17868036867566683,0.9969098295617148,1271767,1e-5,4.1e-6,5.9e-5
Mexico,202951,48088,0.07442908704962381,0.06594258017979976,0.08289533314093492,128932753,0.01,0.0058,0.019
Moldova,15453,3199,0.37296150223938823,0.303083016810892,0.46579492013930457,4033963,0.0043,0.0022,0.0087
Morocco,11338,2417,0.9816406131531361,0.8421551186792036,1,36910558,1.3e-4,8.5e-5,2.6e-4
Nepal,11162,4571,0.9873994944413732,0.937224345638948,0.9999999999998068,29136808,3.2e-4,2e-4,5.6e-4
Netherlands,49914,827,0.6220360403343547,0.45487352779515083,0.8154089249900596,17134873,1.6e-4,7.7e-5,3.5e-4
New Zealand,1170,14,0.5217087876002735,0.21590908562482364,0.9544765938687315,4822233,1.1e-5,4e-6,4.5e-5
Nicaragua,2170,347,0.38766923783778356,0.14554446249260397,0.9973607038837873,6624554,2.7e-4,6.8e-5,0.0012
Niger,1059,43,0.4088081530050432,0.15918078860093154,0.9103636688986422,24206636,8.7e-6,2.5e-6,3.7e-5
Nigeria,22614,5466,0.5547752799115317,0.44390378886839843,0.6817231590173193,206139587,9.6e-5,5.1e-5,2e-4
